TIME	SUS	EXP	INF	REC	DEAD
0	9815	0	185	0	0
1	9672	143	184	0	1
2	9553	262	183	0	2
3	9430	385	181	0	4
4	9324	491	180	0	5
5	9217	455	322	0	6
6	9083	470	437	0	10
7	8927	503	558	0	12
8	8720	604	483	175	18
9	8537	680	587	175	21
10	8358	725	718	175	24
11	8132	795	868	175	30
12	7909	811	933	311	36
13	7674	863	993	429	41
14	7414	944	1054	544	44
15	7170	962	1175	644	49
16	6912	997	1288	748	55
17	6680	994	1390	875	61
18	6394	1020	1488	1030	68
19	6113	1057	1524	1230	76
20	5846	1066	1594	1408	86
21	5588	1092	1638	1585	97
22	5310	1084	1695	1799	112
23	5049	1064	1748	2011	128
24	4791	1055	1784	2232	138
25	4530	1058	1785	2481	146
26	4300	1010	1822	2715	153
27	4035	1014	1830	2959	162
28	3802	989	1859	3181	169
29	3567	963	1834	3458	178
30	3331	969	1780	3730	190
31	3114	921	1779	3990	196
32	2878	924	1746	4240	212
33	2681	886	1703	4510	220
34	2479	852	1677	4759	233
35	2277	837	1636	5002	248
36	2099	779	1612	5250	260
37	1921	760	1588	5464	267
38	1751	728	1528	5719	274
39	1602	675	1495	5943	285
40	1461	638	1438	6171	292
41	1321	600	1388	6396	295
42	1186	565	1345	6603	301
43	1092	510	1256	6833	309
44	990	471	1195	7023	321
45	910	411	1135	7220	324
46	812	374	1069	7414	331
47	740	352	983	7586	339
48	681	309	911	7758	341
49	620	290	822	7925	343
50	563	249	774	8066	348
51	511	229	707	8200	353
52	467	214	630	8334	355
53	416	204	556	8466	358
54	382	181	522	8557	358
55	345	166	472	8657	360
56	310	157	435	8734	364
57	270	146	385	8829	370
58	243	139	345	8898	375
59	212	133	324	8956	375
60	188	122	301	9013	376
61	175	95	284	9070	376
62	161	82	260	9120	377
63	141	71	251	9159	378
64	130	58	225	9208	379
65	113	62	205	9241	379
66	101	60	182	9278	379
67	89	52	165	9312	382
68	79	51	135	9350	385
69	72	41	124	9377	386
70	65	36	107	9406	386
71	58	31	97	9428	386
72	54	25	93	9441	387
73	53	19	86	9455	387
74	49	16	75	9473	387
75	43	15	72	9483	387
76	41	13	59	9500	387
77	36	17	48	9512	387
78	35	14	40	9524	387
79	34	9	36	9534	387
80	33	8	31	9541	387
81	32	4	29	9548	387
82	31	4	23	9555	387
83	30	4	20	9559	387
84	30	3	20	9560	387
85	30	2	17	9564	387
86	30	1	12	9570	387
87	30	0	11	9572	387
88	30	0	6	9577	387
89	30	0	5	9578	387
90	30	0	4	9579	387
91	30	0	3	9580	387
92	30	0	2	9581	387
93	30	0	1	9582	387
94	30	0	0	9583	387
95	30	0	0	9583	387
96	30	0	0	9583	387
97	30	0	0	9583	387
98	30	0	0	9583	387
99	30	0	0	9583	387
